Element ID,Type,Label,Position X,Position Y,Notes
N1,Initial Node,Inicio,300,50,
N2,Activity,Abrir aplicación de escaneo en el dispositivo móvil,300,120,
N3,Activity,Permitir cámara para escanear código QR,300,200,
N4,Activity,Escanear código QR del restaurante/mesa,300,270,
N5,Activity,Decodificar datos del QR,300,340,
N6,Activity,Validar código QR: - Verificar formato - Verificar hash - Verificar expiración,300,410,
N7,Activity,Obtener información del restaurante,300,480,
N8,Activity,Verificar capacidad actual vs. máxima,300,550,
N9,Activity,Registrar entrada con: - Timestamp actual - ID restaurante - ID código QR - ID cliente (opcional),300,620,
N10,Activity,Incrementar contador de ocupación actual,300,690,
N11,Activity,Solicitar número de acompañantes,300,760,
N12,Activity,Validar número (1-10),300,820,
N13,Activity,Registrar acompañantes en la entrada,300,890,
N14,Activity,Actualizar contador de ocupación (+ acompañantes),300,950,
N15,Final Node,Fin - Entrada con acompañantes,300,1020,
E1,Error Node,Fin - Error,550,200,
E2,Error Node,Fin - Error,550,410,
E3,Error Node,Fin - Error,550,550,
E4,Final Node,Fin - Entrada registrada,80,760,
E5,Error Node,Mostrar error,550,820,
D1,Decision,¿Permiso concedido?,300,235,
D2,Decision,¿Código QR válido?,300,470,
D3,Decision,¿Hay capacidad?,300,610,
D4,Decision,¿Registrar acompañantes?,300,730,
D5,Decision,¿Número válido?,300,865,
